rssi1,rssi2,rssi3,rssi4,rssi5,x,y
-75.322,-94.015,-108.009,-71.558,-75.583,489.600,0.000
-75.349,-95.024,-100.599,-71.516,-75.583,491.200,0.000
-75.377,-97.783,-100.989,-71.474,-75.605,492.800,0.000
-75.404,-99.800,-101.480,-71.431,-76.627,494.400,0.000
-75.431,-99.559,-101.970,-71.388,-78.627,496.000,0.000
-75.457,-100.817,-107.060,-71.345,-80.149,497.600,0.000
-75.484,-96.076,-108.250,-71.302,-82.149,499.200,0.000
-75.511,-93.843,-108.140,-71.259,-81.171,500.800,0.000
-75.538,-93.352,-115.430,-71.215,-84.193,502.400,0.000
-75.564,-93.410,-115.420,-71.171,-87.693,504.000,0.000
-75.591,-94.877,-118.210,-71.127,-90.715,505.600,0.000
-75.617,-93.936,-119.710,-71.083,-89.237,507.200,0.000
-75.643,-94.044,-117.800,-71.038,-86.237,508.800,0.000
-75.670,-94.403,-118.690,-70.994,-84.259,510.400,0.000
-75.696,-94.670,-110.180,-70.949,-81.281,512.000,0.000
-75.722,-94.878,-104.770,-70.903,-81.281,513.600,0.000
-75.748,-94.987,-101.560,-70.858,-80.802,515.200,0.000
-75.774,-94.454,-102.099,-70.812,-79.824,516.800,0.000
-75.800,-96.362,-102.189,-70.766,-79.845,518.400,0.000
-75.825,-98.821,-103.179,-70.720,-79.845,520.000,0.000
-75.851,-100.338,-101.479,-70.674,-79.867,521.600,0.000
-75.877,-99.246,-96.869,-70.627,-79.888,523.200,0.000
-75.902,-100.005,-92.609,-70.580,-79.910,524.800,0.000
-75.928,-102.021,-91.299,-70.533,-80.910,526.400,0.000
-75.953,-103.130,-91.189,-70.485,-79.431,528.000,0.000
-75.978,-102.538,-92.179,-70.437,-81.453,529.600,0.000
-76.004,-104.847,-94.368,-70.389,-83.474,531.200,0.000
-76.029,-104.963,-95.468,-70.341,-83.495,532.800,0.000
-76.054,-104.972,-96.758,-70.293,-81.995,534.400,0.000
-76.079,-106.280,-100.148,-70.244,-81.516,536.000,0.000
-76.104,-104.997,-98.438,-70.195,-79.037,537.600,0.000
-76.129,-103.605,-97.628,-70.145,-78.558,539.200,0.000
-76.154,-103.922,-99.517,-70.096,-76.079,540.800,0.000
-76.178,-99.430,-104.167,-70.046,-76.100,542.400,0.000
-76.203,-98.538,-107.707,-69.996,-76.100,544.000,0.000
-76.228,-99.055,-111.547,-69.945,-76.121,545.600,0.000
-76.252,-98.163,-112.287,-69.894,-76.142,547.200,0.000
-76.277,-100.771,-107.926,-69.843,-76.663,548.800,0.000
-76.301,-101.988,-102.676,-69.792,-75.684,550.400,0.000
-76.325,-103.196,-98.716,-69.740,-75.204,552.000,0.000
-76.350,-102.204,-98.906,-69.688,-74.225,553.600,0.000
-76.374,-106.321,-97.996,-69.636,-73.746,555.200,0.000
-76.398,-104.029,-99.235,-69.583,-73.266,556.800,0.000
-76.422,-105.737,-104.735,-69.530,-73.787,558.400,0.000
-76.446,-107.554,-108.475,-69.477,-74.307,560.000,0.000
-76.470,-104.262,-110.615,-69.423,-75.807,561.600,0.000
-76.494,-103.670,-112.554,-69.369,-78.328,563.200,0.000
-76.518,-103.386,-116.004,-69.315,-79.848,564.800,0.000
-76.541,-104.994,-115.194,-69.261,-80.868,566.400,0.000
-76.565,-102.911,-111.783,-69.206,-82.388,568.000,0.000
-76.589,-103.419,-109.423,-69.150,-78.909,569.600,0.000
-76.612,-103.927,-109.773,-69.122,-77.429,571.200,0.000
-76.636,-106.543,-109.113,-69.067,-75.949,572.800,0.000
-76.659,-107.701,-105.602,-69.010,-75.969,574.400,0.000
-76.682,-107.768,-105.342,-68.954,-75.989,576.000,0.000
-76.706,-109.676,-105.642,-68.897,-77.009,577.600,0.000
-76.729,-106.584,-108.481,-68.839,-79.029,579.200,0.000
-76.752,-108.200,-112.421,-68.782,-79.549,580.800,0.000
-76.775,-104.208,-111.660,-68.724,-80.319,582.400,0.000
-76.798,-102.216,-110.810,-68.665,-80.339,584.000,0.000
-76.821,-100.832,-109.300,-68.606,-80.358,585.600,0.000
-76.844,-98.840,-109.289,-68.547,-79.898,587.200,0.000
-76.867,-98.356,-109.089,-68.487,-79.417,588.800,0.000
-76.890,-98.364,-108.779,-68.427,-78.187,590.400,0.000
-76.913,-99.472,-108.468,-68.367,-75.207,592.000,0.000
-76.935,-100.388,-106.868,-68.306,-75.226,593.600,0.000
-76.958,-101.896,-105.058,-68.244,-75.245,595.200,0.000
-76.980,-102.662,-102.247,-68.183,-75.265,596.800,0.000
-77.003,-102.170,-102.447,-68.120,-75.284,598.400,0.000
-77.025,-104.086,-102.237,-68.058,-77.304,600.000,0.000
-77.048,-104.893,-102.226,-67.994,-83.323,601.600,0.000
-77.070,-104.551,-102.226,-67.931,-88.342,603.200,0.000
-77.092,-106.317,-104.216,-67.867,-93.380,604.800,0.000
-77.115,-107.975,-105.505,-67.802,-95.900,606.400,0.000
-77.137,-108.891,-105.705,-67.737,-95.919,608.000,0.000
-77.159,-109.799,-105.794,-67.671,-92.938,609.600,0.000
-77.181,-110.107,-106.884,-67.605,-88.457,611.200,0.000
-77.203,-109.122,-108.784,-67.539,-87.476,612.800,0.000
-77.225,-109.030,-106.573,-67.472,-86.994,614.400,0.000
-77.247,-108.446,-107.362,-67.404,-89.532,616.000,0.000
-77.269,-106.904,-113.862,-67.336,-90.551,617.600,0.000
-77.290,-106.669,-119.252,-67.267,-93.570,619.200,0.000
-77.312,-103.677,-127.352,-67.198,-92.588,620.800,0.000
-77.334,-103.685,-125.641,-67.128,-89.607,622.400,0.000
-77.355,-104.450,-126.530,-67.058,-89.644,624.000,0.000
-77.377,-105.208,-121.730,-66.987,-89.663,625.600,0.000
-77.398,-105.474,-123.020,-66.916,-89.181,627.200,0.000
-77.420,-103.481,-119.320,-66.844,-88.200,628.800,0.000
-77.441,-102.497,-119.109,-66.771,-89.218,630.400,0.000
-77.462,-99.005,-120.998,-66.698,-84.755,632.000,0.000
-77.484,-97.520,-127.498,-66.624,-87.273,633.600,0.000
-77.505,-96.778,-128.288,-66.549,-87.291,635.200,0.000
-77.526,-98.793,-123.088,-66.474,-87.310,636.800,0.000
-77.547,-103.801,-112.677,-66.398,-87.328,638.400,0.000
-77.568,-108.059,-105.377,-66.322,-87.364,640.000,0.000
-77.589,-110.074,-101.366,-66.244,-87.382,641.600,0.000
-77.610,-109.832,-96.355,-66.166,-87.400,643.200,0.000
-77.631,-112.597,-92.355,-66.088,-88.436,644.800,0.000
-77.652,-113.355,-87.844,-66.008,-87.954,646.400,0.000
-77.673,-113.620,-83.844,-65.928,-87.972,648.000,0.000
-77.694,-112.127,-84.334,-65.848,-82.990,649.600,0.000
-77.715,-117.643,-84.334,-65.766,-80.526,651.200,0.000
-77.735,-114.400,-84.323,-65.684,-75.543,652.800,0.000
-77.756,-111.915,-84.823,-65.601,-73.061,654.400,0.000
-77.776,-116.423,-84.812,-65.517,-73.079,656.000,0.000
-77.797,-118.438,-84.312,-65.432,-73.114,657.600,0.000
-77.817,-114.946,-83.301,-65.346,-73.131,659.200,0.000
-77.838,-113.961,-81.801,-65.260,-73.149,660.800,0.000
-77.858,-114.968,-80.790,-65.173,-73.184,662.400,0.000
-77.879,-113.476,-79.790,-65.084,-73.201,664.000,0.000
-77.899,-114.741,-78.779,-64.995,-73.219,665.600,0.000
-77.919,-111.248,-77.279,-64.905,-73.253,667.200,0.000
-77.939,-109.514,-77.269,-64.814,-73.271,668.800,0.000
-77.960,-110.271,-77.269,-64.722,-73.288,670.400,0.000
-77.980,-109.786,-77.258,-64.630,-73.322,672.000,0.000
-78.000,-112.293,-77.258,-64.536,-73.340,673.600,0.000
-78.020,-112.308,-77.247,-64.441,-73.357,675.200,0.000
-78.040,-112.316,-77.247,-64.345,-73.391,676.800,0.000
-78.060,-113.331,-77.236,-64.248,-73.408,678.400,0.000
-78.080,-112.838,-77.236,-64.150,-73.425,680.000,0.000
-78.099,-112.353,-77.236,-64.050,-73.459,681.600,0.000
-78.119,-108.860,-77.225,-63.950,-73.475,683.200,0.000
-78.139,-105.375,-77.225,-63.848,-73.509,684.800,0.000
-78.159,-99.883,-77.214,-63.746,-73.526,686.400,0.000
-78.178,-101.397,-77.214,-63.642,-73.543,688.000,0.000
-78.198,-102.155,-77.203,-63.536,-73.576,689.600,0.000
-78.217,-103.170,-77.203,-63.430,-73.593,691.200,0.000
-78.237,-102.427,-77.203,-63.322,-73.626,692.800,0.000
-78.256,-102.442,-77.192,-63.212,-73.643,694.400,0.000
-78.276,-100.199,-77.192,-63.157,-73.659,696.000,0.000
-78.295,-100.214,-77.181,-63.046,-73.692,697.600,0.000
-78.315,-100.721,-77.181,-62.933,-73.708,699.200,0.000
-78.334,-101.236,-78.681,-62.819,-73.741,700.800,0.000
-78.353,-101.743,-83.920,-62.703,-73.758,702.400,0.000
-78.372,-102.258,-88.420,-62.586,-73.774,704.000,0.000
-78.391,-104.772,-87.920,-62.467,-73.806,705.600,0.000
-78.411,-104.279,-89.659,-62.346,-73.823,707.200,0.000
-78.430,-102.794,-97.859,-62.224,-73.855,708.800,0.000
-78.449,-100.801,-98.159,-62.100,-73.871,710.400,0.000
-78.468,-98.816,-86.948,-61.974,-73.903,712.000,0.000
-78.487,-97.323,-86.448,-61.846,-73.919,713.600,0.000
