rssi1,rssi2,rssi3,rssi4,rssi5,x,y
-75.722,-86.928,-93.670,-70.903,-71.281,513.600,0.000
-75.748,-85.937,-100.260,-70.858,-71.302,515.200,0.000
-75.774,-85.454,-102.599,-70.812,-71.324,516.800,0.000
-75.800,-85.962,-99.939,-70.766,-71.345,518.400,0.000
-75.825,-84.471,-97.329,-70.720,-71.345,520.000,0.000
-75.851,-84.988,-100.629,-70.674,-71.367,521.600,0.000
-75.877,-83.496,-104.669,-70.627,-71.388,523.200,0.000
-75.902,-84.005,-106.709,-70.580,-71.410,524.800,0.000
-75.928,-82.521,-104.099,-70.533,-71.410,526.400,0.000
-75.953,-83.030,-96.389,-70.485,-71.431,528.000,0.000
-75.978,-82.538,-96.479,-70.437,-71.453,529.600,0.000
-76.004,-83.047,-96.768,-70.389,-71.474,531.200,0.000
-76.029,-82.563,-98.168,-70.341,-71.495,532.800,0.000
-76.054,-83.072,-100.058,-70.293,-71.495,534.400,0.000
-76.079,-82.580,-99.948,-70.244,-71.516,536.000,0.000
-76.104,-84.097,-102.538,-70.195,-71.537,537.600,0.000
-76.129,-83.605,-102.028,-70.145,-71.558,539.200,0.000
-76.154,-85.122,-101.817,-70.096,-71.579,540.800,0.000
-76.178,-84.630,-106.517,-70.046,-71.600,542.400,0.000
-76.203,-86.138,-111.307,-69.996,-71.600,544.000,0.000
-76.228,-85.655,-111.297,-69.945,-71.621,545.600,0.000
-76.252,-87.163,-108.587,-69.894,-71.642,547.200,0.000
-76.277,-85.671,-110.176,-69.843,-71.663,548.800,0.000
-76.301,-87.188,-112.876,-69.792,-71.684,550.400,0.000
-76.325,-85.696,-112.066,-69.740,-71.704,552.000,0.000
-76.350,-87.204,-104.856,-69.688,-71.725,553.600,0.000
-76.374,-85.721,-99.346,-69.636,-71.746,555.200,0.000
-76.398,-86.229,-94.335,-69.583,-71.766,556.800,0.000
-76.422,-86.737,-94.235,-69.530,-71.787,558.400,0.000
-76.446,-86.754,-94.225,-69.477,-71.807,560.000,0.000
-76.470,-87.262,-99.815,-69.423,-71.807,561.600,0.000
-76.494,-87.270,-102.704,-69.369,-71.828,563.200,0.000
-76.518,-87.286,-97.004,-69.315,-71.848,564.800,0.000
-76.541,-87.294,-87.594,-69.261,-71.868,566.400,0.000
-76.565,-88.811,-84.583,-69.206,-71.888,568.000,0.000
-76.589,-87.319,-82.873,-69.150,-71.909,569.600,0.000
-76.612,-87.327,-85.773,-69.122,-71.929,571.200,0.000
-76.636,-87.343,-96.263,-69.067,-71.949,572.800,0.000
-76.659,-87.351,-101.952,-69.010,-71.969,574.400,0.000
-76.682,-87.368,-100.142,-68.954,-71.989,576.000,0.000
-76.706,-87.376,-105.992,-68.897,-72.009,577.600,0.000
-76.729,-86.384,-113.881,-68.839,-72.029,579.200,0.000
-76.752,-86.400,-106.871,-68.782,-72.049,580.800,0.000
-76.775,-86.908,-98.860,-68.724,-72.069,582.400,0.000
-76.798,-85.416,-101.010,-68.665,-72.089,584.000,0.000
-76.821,-85.932,-103.800,-68.606,-72.108,585.600,0.000
-76.844,-84.440,-103.089,-68.547,-72.148,587.200,0.000
-76.867,-84.956,-102.689,-68.487,-72.167,588.800,0.000
-76.890,-84.464,-105.579,-68.427,-72.187,590.400,0.000
-76.913,-84.472,-111.568,-68.367,-72.207,592.000,0.000
-76.935,-84.488,-113.568,-68.306,-72.226,593.600,0.000
-76.958,-84.496,-114.558,-68.244,-72.245,595.200,0.000
-76.980,-84.512,-118.047,-68.183,-72.265,596.800,0.000
-77.003,-84.520,-118.047,-68.120,-72.284,598.400,0.000
-77.025,-84.536,-112.037,-68.058,-72.304,600.000,0.000
-77.048,-84.543,-107.026,-67.994,-72.323,601.600,0.000
-77.070,-84.551,-98.526,-67.931,-72.342,603.200,0.000
-77.092,-84.567,-88.516,-67.867,-72.380,604.800,0.000
-77.115,-84.575,-86.505,-67.802,-72.400,606.400,0.000
-77.137,-85.591,-86.505,-67.737,-72.419,608.000,0.000
-77.159,-85.599,-89.994,-67.671,-72.438,609.600,0.000
-77.181,-86.607,-94.484,-67.605,-72.457,611.200,0.000
-77.203,-86.622,-95.984,-67.539,-72.476,612.800,0.000
-77.225,-87.630,-97.723,-67.472,-72.494,614.400,0.000
-77.247,-87.646,-94.962,-67.404,-72.532,616.000,0.000
-77.269,-87.654,-96.712,-67.336,-72.551,617.600,0.000
-77.290,-87.669,-104.452,-67.267,-72.570,619.200,0.000
-77.312,-87.677,-109.702,-67.198,-72.588,620.800,0.000
-77.334,-87.935,-103.941,-67.128,-72.607,622.400,0.000
-77.355,-87.950,-94.430,-67.058,-72.644,624.000,0.000
-77.377,-87.958,-93.930,-66.987,-72.663,625.600,0.000
-77.398,-88.224,-93.920,-66.916,-72.681,627.200,0.000
